nflId,height,weight,birthDate,collegeName,Position,displayName
42901,1-Jun,208,7/25/92,James Madison,SS,Dean Marlowe
43501,Jun-00,220,8/11/94,Central Michigan,FS,Kavon Frazier
43534,Jun-00,205,6/2/93,Illinois,SS,Clayton Fejedelem
43535,1-Jun,235,12/22/92,Temple,MLB,Tyler Matakevich
44174,1-Jun,236,2/22/93,Texas Tech,ILB,Sam Eguavoen
44931,4-Jun,221,9/16/93,North Carolina,WR,Mack Hollins
44985,8-May,173,4/9/95,Georgia,WR,Isaiah McKenzie
45369,4-Jun,210,8/14/95,Hawaii,WR,Marcus Kemp
45608,10-May,180,10/23/94,Iowa State,CB,Jamal Perry
46223,Jun-00,205,8/4/94,Jacksonville State,CB,Siran Neal
46298,11-May,186,11/16/95,New Mexico,K,Jason Sanders
46303,Jun-00,240,4/20/97,North Carolina,ILB,Andre Smith
46969,10-May,198,12/5/94,Kent State,DB,Nate Holley
47934,4-Jun,242,7/1/95,Wisconsin,OLB,Andrew Van Ginkel
47964,10-May,190,11/13/95,Miami,FS,Jaquan Johnson
48008,6-Jun,253,4/4/97,North Carolina A&amp;T,DE,Darryl Johnson
48449,5-Jun,264,3/24/96,"Miami, O.",TE,Nate Becker
48482,Jun-00,237,6/25/98,Texas A&amp;M,MLB,Tyrel Dodson
52438,11-May,196,11/27/99,Auburn,CB,Noah Igbinoghene
52462,5-Jun,280,9/15/98,Iowa,DE,A.J. Epenesa
52478,Jun-00,205,4/2/98,Texas,FS,Brandon Jones
52536,3-Jun,213,3/1/99,Central Florida,WR,Gabriel Davis
40096,1-Jun,240,7/30/91,Iowa State,OLB,A.J. Klein
42924,6-Jun,325,9/15/91,Idaho,T,Jesse Davis
43319,4-Jun,330,6/14/94,Louisiana Tech,DT,Vernon Butler
43436,4-Jun,291,3/31/93,Maryland,DT,Quinton Jefferson
43510,4-Jun,305,3/15/93,Illinois,C,Ted Karras
44943,7-Jun,325,1/9/95,Bucknell,T,Julien Davenport
45296,Jun-00,205,7/25/94,Arizona State,P,Matt Haack
46085,5-Jun,250,5/2/98,Virginia Tech,MLB,Tremaine Edmunds
46192,6-Jun,260,8/9/95,Notre Dame,TE,Durham Smythe
46698,Jun-00,179,6/12/95,Alabama,CB,Levi Wallace
47796,4-Jun,315,12/20/95,Clemson,DE,Christian Wilkins
47861,6-Jun,310,9/3/96,Wisconsin,C,Michael Deiter
52426,6-Jun,310,8/11/99,Southern California,T,Austin Jackson
52447,5-Jun,322,8/25/96,Louisiana-Lafayette,T,Robert Hunt
52593,3-Jun,235,4/21/97,Louisiana State,LS,Blake Ferguson
52647,11-May,185,11/29/96,Pittsburgh,CB,Dane Jackson
43308,3-Jun,267,6/17/94,Clemson,OLB,Shaq Lawson
43321,4-Jun,275,11/6/93,Oklahoma State,DE,Emmanuel Ogbah
43617,2-Jun,235,3/24/94,Louisiana State,LS,Reid Ferguson
46307,6-Jun,290,9/7/95,Ferris State,DE,Zach Sieler
46903,Jun-00,208,9/13/96,New Mexico,P,Corey Bojorquez
52654,9-May,190,4/19/97,Navy,RB,Malcolm Perry
38673,Jun-00,200,12/15/87,Coastal Carolina,CB,Josh Norman
40166,Jun-00,191,4/25/91,Oregon State,SS,Jordan Poyer
41276,6-Jun,259,12/22/90,Stanford,DE,Trent Murphy
43638,3-Jun,292,10/23/92,Ferris State,DT,Justin Zimmer
44976,Jun-00,223,7/28/94,Boston College,OLB,Matt Milano
45590,Jun-00,245,12/27/94,San Diego State,ILB,Calvin Munson
46190,11-May,192,7/27/96,Weber State,CB,Taron Johnson
37234,6-Jun,265,11/21/87,Marshall,TE,Lee Smith
40020,4-Jun,320,7/10/91,Kent State,G,Brian Winters
42370,Jun-00,205,9/26/92,Connecticut,CB,Byron Jones
42445,6-Jun,330,8/31/92,Oklahoma,T,Daryl Williams
42471,4-Jun,323,2/10/92,Miami,G,Jon Feliciano
44875,5-Jun,320,4/26/94,Temple,T,Dion Dawkins
46165,3-Jun,307,1/25/96,Stanford,DT,Harrison Phillips
46689,6-Jun,318,10/5/94,Iowa,G,Ike Boettger
48512,4-Jun,300,2/14/97,Penn State,C,Ryan Bates
52464,7-Jun,310,NA,Alabama,NT,Raekwon Davis
52596,10-May,185,2/14/97,Georgia Southern,K,Tyler Bass
45186,10-May,190,2/28/95,Georgia Southern,RB,Matt Breida
46695,3-Jun,255,1/22/94,South Florida,DE,Mike Love
47879,4-Jun,254,11/14/96,Mississippi,TE,Dawson Knox
52562,5-Jun,280,9/10/96,North Carolina,DE,Jason Strowbridge
38470,1-Jun,234,2/11/88,North Texas,ILB,Craig Robertson
